date,department,category,budget,actual,approved
2024-01-02,Engineering,Personnel,27980.89,16027.93,True
2024-01-02,IT,Office,8908.27,20928.62,True
2024-01-02,IT,Office,7794.73,7848.23,True
2024-01-02,IT,Travel,7794.73,12557.17,True
2024-01-03,Marketing,Consulting,19176.15,10041.26,True
2024-01-04,Finance,Personnel,14111.42,21927.18,True
2024-01-04,Operations,Hardware,14257.31,20693.01,False
2024-01-04,Marketing,Personnel,15980.12,26776.7,True
2024-01-05,HR,Hardware,5081.13,3330.76,True
2024-01-05,Operations,Office,21385.97,10346.5,False
2024-01-05,IT,Travel,15589.47,12557.17,False
2024-01-06,Sales,Travel,17774.73,20456.64,True
2024-01-06,IT,Travel,20785.95,10464.31,True
2024-01-07,Finance,Consulting,28222.84,16445.39,False
2024-01-07,Finance,Office,22578.27,21927.18,True
2024-01-07,Sales,Consulting,13331.05,20456.64,True
2024-01-08,IT,Training,20785.95,10464.31,True
2024-01-08,Finance,Training,18815.23,21927.18,True
2024-01-08,Finance,Personnel,37630.45,26312.62,True
2024-01-08,Finance,Personnel,22578.27,43854.37,True
2024-01-08,IT,Software,15589.47,8969.41,False
2024-01-08,Engineering,Software,20985.67,8013.97,True
2024-01-08,HR,Consulting,6774.84,7771.77,False
2024-01-08,Engineering,Travel,11991.81,12822.34,True
2024-01-09,HR,Consulting,5081.13,3330.76,True
2024-01-11,Marketing,Hardware,23970.19,20082.52,True
2024-01-12,HR,Training,4064.91,5828.82,True
2024-01-12,Sales,Software,13331.05,20456.64,True
2024-01-15,Operations,Software,17108.77,20693.01,True
2024-01-15,Finance,Consulting,18815.23,43854.37,True
2024-01-16,IT,Travel,15589.47,10464.31,True
2024-01-17,Operations,Travel,28514.62,27590.68,True
2024-01-17,Engineering,Consulting,27980.89,9158.82,True
2024-01-17,Operations,Hardware,12220.55,27590.68,True
2024-01-17,Finance,Software,22578.27,16445.39,False
2024-01-17,HR,Training,2903.5,3885.88,True
2024-01-19,Operations,Travel,17108.77,20693.01,True
2024-01-19,Finance,Software,37630.45,43854.37,True
2024-01-19,Marketing,Software,11985.09,26776.7,True
2024-01-20,Sales,Office,26662.09,14611.88,True
2024-01-20,HR,Hardware,3387.42,7771.77,True
2024-01-20,Operations,Personnel,14257.31,13795.34,False
2024-01-21,Sales,Training,21329.67,25570.8,True
2024-01-22,HR,Travel,2903.5,5828.82,True
2024-01-22,Engineering,Office,11991.81,21370.57,False
2024-01-22,Sales,Hardware,35549.46,25570.8,True
2024-01-22,Marketing,Software,19176.15,26776.7,True
2024-01-22,Operations,Consulting,17108.77,10346.5,True
2024-01-23,Engineering,Office,10492.83,9158.82,False
2024-01-24,Operations,Consulting,12220.55,16554.41,False
2024-01-24,Marketing,Travel,13697.25,26776.7,False
2024-01-25,IT,Training,15589.47,15696.47,False
2024-01-26,Sales,Hardware,17774.73,20456.64,True
2024-01-27,HR,Personnel,2903.5,5828.82,True
2024-01-28,Marketing,Hardware,13697.25,16066.02,True
2024-01-28,HR,Office,4064.91,2914.41,True
2024-02-01,HR,Software,9319.88,18028.78,False
2024-02-02,Engineering,Consulting,37550.6,33283.57,True
2024-02-02,Engineering,Personnel,16093.12,22189.05,True
2024-02-03,Sales,Consulting,20528.98,12430.55,True
2024-02-04,Operations,Software,17357.26,30520.76,True
2024-02-05,Engineering,Software,22530.36,33283.57,True
2024-02-05,Sales,Hardware,27371.98,21753.47,True
2024-02-06,HR,Training,9319.88,30047.97,False
2024-02-07,Finance,Training,17869.45,26208.61,True
2024-02-08,HR,Training,18639.76,22535.97,False
2024-02-08,Marketing,Hardware,5331.44,9913.75,True
2024-02-09,Marketing,Software,3998.58,4956.88,True
2024-02-09,Operations,Training,28928.77,30520.76,False
2024-02-10,HR,Hardware,24853.01,18028.78,True
2024-02-10,Sales,Software,13685.99,12430.55,True
2024-02-12,IT,Office,6306.84,6746.85,True
2024-02-12,IT,Travel,10511.39,5060.13,True
2024-02-13,IT,Consulting,7883.55,8096.21,True
2024-02-14,Engineering,Office,14081.48,19019.18,False
2024-02-14,Marketing,Office,4569.81,5665.0,True
2024-02-15,Marketing,Hardware,10662.89,13218.33,False
2024-02-18,Operations,Personnel,28928.77,30520.76,True
2024-02-18,HR,Software,12426.5,22535.97,True
2024-02-19,IT,Hardware,10511.39,13493.69,False
2024-02-19,Engineering,Office,16093.12,44378.1,True
2024-02-19,Marketing,Consulting,10662.89,5665.0,True
2024-02-20,Operations,Software,10848.29,18312.46,True
2024-02-20,Sales,Training,10264.49,12430.55,True
2024-02-20,Engineering,Personnel,14081.48,33283.57,False
2024-02-22,Finance,Training,15316.67,26208.61,True
2024-02-22,Finance,Software,17869.45,26208.61,True
2024-02-22,Operations,Office,17357.26,13080.33,False
2024-02-22,HR,Software,9319.88,30047.97,True
2024-02-23,IT,Travel,10511.39,5783.01,True
2024-02-24,Operations,Travel,12398.05,11445.28,False
2024-02-24,Operations,Consulting,21696.58,18312.46,True
2024-02-25,HR,Consulting,12426.5,12877.7,True
2024-02-25,Operations,Software,10848.29,18312.46,True
2024-02-26,HR,Office,9319.88,22535.97,True
2024-02-27,Finance,Training,26804.17,32760.76,True
2024-02-27,Operations,Hardware,28928.77,30520.76,True
2024-02-28,Finance,Personnel,21443.34,26208.61,False
2024-03-01,IT,Training,12732.83,11076.04,True
2024-03-01,Finance,Personnel,13836.61,19842.46,True
2024-03-01,HR,Travel,8625.23,6100.58,False
2024-03-01,HR,Hardware,8625.23,8134.11,False
2024-03-02,Sales,Consulting,27316.49,44552.92,False
2024-03-02,Marketing,Software,8397.91,6230.78,True
2024-03-03,Marketing,Training,12596.87,5451.93,True
2024-03-04,IT,Office,15279.39,8307.03,True
2024-03-05,Sales,Training,18211.0,16707.35,True
2024-03-07,Engineering,Travel,10289.44,15295.09,True
2024-03-07,HR,Personnel,7187.69,8134.11,True
2024-03-08,Finance,Software,36897.63,17007.82,True
2024-03-08,Marketing,Software,6298.44,5451.93,True
2024-03-08,Finance,Software,18448.81,14881.84,True
2024-03-08,Marketing,Training,12596.87,10903.86,True
2024-03-09,Finance,Training,36897.63,19842.46,True
2024-03-09,IT,Training,15279.39,16614.06,True
2024-03-10,Marketing,Consulting,6298.44,5451.93,True
2024-03-11,Finance,Training,18448.81,23810.95,False
